Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['2', '16', '25', '31', '32', '3'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 146, Issue： 2020076 baseM: 830, result: 15, red_balls: ['3', '7', '8', '21', '33', '32'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 156, Issue： 2020086 baseM: 755, result: 15, red_balls: ['7', '13', '15', '17', '31', '2'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 160, Issue： 2020090 baseM: 740, result: 15, red_balls: ['5', '11', '16', '18', '27', '9'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 217, Issue： 2021013 baseM: 195, result: 15, red_balls: ['4', '13', '23', '27', '30', '25'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 218, Issue： 2021014 baseM: 210, result: 15, red_balls: ['6', '7', '17', '28', '32', '8'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 222, Issue： 2021018 baseM: 195, result: 15, red_balls: ['3', '15', '22', '24', '28', '26'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 226, Issue： 2021022 baseM: 180, result: 15, red_balls: ['4', '6', '7', '8', '22', '23'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 237, Issue： 2021033 baseM: 95, result: 15, red_balls: ['1', '3', '17', '29', '32', '11'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 242, Issue： 2021038 baseM: 70, result: 15, red_balls: ['5', '20', '21', '22', '29', '11'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
base_money is negative, stop, totally round: 249
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['7', '12', '14', '26', '28', '15'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 0
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['3', '10', '19', '29', '30', '27'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 2
Guess time: 26, Issue： 2019107 baseM: 1830, result: 40, red_balls: ['2', '6', '23', '28', '31', '8'], blue_ball: 15, act_red_balls: ['2', '6', '8', '23', '27', '32'], act_blue_ball: 2, ret: 40, red_correct: 4
Guess time: 32, Issue： 2019113 baseM: 1795, result: 15, red_balls: ['6', '15', '16', '19', '33', '3'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 2
Guess time: 45, Issue： 2019126 baseM: 1690, result: 15, red_balls: ['5', '11', '18', '19', '28', '17'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 56, Issue： 2019137 baseM: 1605, result: 15, red_balls: ['5', '9', '20', '21', '22', '3'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 96, Issue： 2020026 baseM: 1230, result: 15, red_balls: ['4', '5', '7', '19', '26', '32'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 97, Issue： 2020027 baseM: 1245, result: 15, red_balls: ['11', '15', '22', '27', '29', '9'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 106, Issue： 2020036 baseM: 1205, result: 40, red_balls: ['7', '17', '21', '24', '32', '28'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 135, Issue： 2020065 baseM: 965, result: 40, red_balls: ['9', '11', '15', '26', '33', '18'], blue_ball: 6, act_red_balls: ['9', '15', '18', '21', '23', '26'], act_blue_ball: 8, ret: 40, red_correct: 4
Guess time: 146, Issue： 2020076 baseM: 880, result: 15, red_balls: ['6', '11', '18', '21', '23', '10'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 156, Issue： 2020086 baseM: 805, result: 15, red_balls: ['5', '10', '24', '32', '33', '27'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 160, Issue： 2020090 baseM: 790, result: 15, red_balls: ['11', '14', '15', '23', '29', '33'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 172, Issue： 2020102 baseM: 720, result: 40, red_balls: ['11', '14', '19', '26', '29', '10'], blue_ball: 6, act_red_balls: ['9', '10', '19', '25', '26', '29'], act_blue_ball: 8, ret: 40, red_correct: 4
Guess time: 217, Issue： 2021013 baseM: 295, result: 15, red_balls: ['2', '7', '17', '25', '32', '10'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 218, Issue： 2021014 baseM: 335, result: 40, red_balls: ['4', '21', '25', '31', '32', '10'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 222, Issue： 2021018 baseM: 320, result: 15, red_balls: ['8', '11', '13', '16', '32', '20'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 226, Issue： 2021022 baseM: 305, result: 15, red_balls: ['3', '6', '13', '21', '28', '14'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 237, Issue： 2021033 baseM: 220, result: 15, red_balls: ['4', '14', '17', '18', '23', '8'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 242, Issue： 2021038 baseM: 195, result: 15, red_balls: ['4', '15', '27', '31', '33', '30'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 250, Issue： 2021046 baseM: 140, result: 15, red_balls: ['4', '5', '8', '22', '29', '25'], blue_ball: 6, act_red_balls: ['5', '9', '13', '21', '28', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
base_money is negative, stop, totally round: 264
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['5', '7', '16', '18', '27', '28'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 0
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['9', '16', '18', '22', '33', '10'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 2
Guess time: 32, Issue： 2019113 baseM: 1745, result: 15, red_balls: ['10', '17', '25', '31', '33', '3'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 2
Guess time: 45, Issue： 2019126 baseM: 1640, result: 15, red_balls: ['14', '15', '16', '17', '31', '21'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 2
Guess time: 56, Issue： 2019137 baseM: 1555, result: 15, red_balls: ['5', '11', '12', '26', '28', '33'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 96, Issue： 2020026 baseM: 1180, result: 15, red_balls: ['7', '12', '16', '32', '33', '25'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 97, Issue： 2020027 baseM: 1195, result: 15, red_balls: ['2', '5', '10', '15', '33', '21'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 106, Issue： 2020036 baseM: 1130, result: 15, red_balls: ['2', '10', '14', '15', '25', '27'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 112, Issue： 2020042 baseM: 1120, result: 40, red_balls: ['6', '7', '11', '19', '31', '22'], blue_ball: 6, act_red_balls: ['2', '6', '7', '11', '14', '31'], act_blue_ball: 3, ret: 40, red_correct: 4
Guess time: 146, Issue： 2020076 baseM: 805, result: 15, red_balls: ['2', '3', '15', '19', '25', '17'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 156, Issue： 2020086 baseM: 730, result: 15, red_balls: ['2', '16', '28', '30', '32', '7'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 160, Issue： 2020090 baseM: 715, result: 15, red_balls: ['1', '6', '12', '18', '32', '2'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 217, Issue： 2021013 baseM: 170, result: 15, red_balls: ['2', '5', '14', '21', '26', '25'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 218, Issue： 2021014 baseM: 185, result: 15, red_balls: ['6', '13', '23', '29', '33', '16'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 222, Issue： 2021018 baseM: 170, result: 15, red_balls: ['2', '14', '17', '18', '21', '20'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 226, Issue： 2021022 baseM: 155, result: 15, red_balls: ['4', '6', '14', '15', '24', '25'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 237, Issue： 2021033 baseM: 70, result: 15, red_balls: ['6', '8', '10', '23', '32', '31'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 242, Issue： 2021038 baseM: 45, result: 15, red_balls: ['11', '13', '21', '29', '32', '28'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
base_money is negative, stop, totally round: 247
Guess time: 10, Issue： 2019091 baseM: 1940, result: 40, red_balls: ['7', '9', '10', '29', '30', '32'], blue_ball: 5, act_red_balls: ['7', '10', '21', '24', '29', '32'], act_blue_ball: 11, ret: 40, red_correct: 4
Guess time: 20, Issue： 2019101 baseM: 1865, result: 15, red_balls: ['2', '3', '13', '16', '21', '25'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1840, result: 15, red_balls: ['4', '6', '11', '18', '30', '26'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 1
Guess time: 32, Issue： 2019113 baseM: 1795, result: 15, red_balls: ['7', '16', '20', '24', '28', '18'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 0
Guess time: 45, Issue： 2019126 baseM: 1690, result: 15, red_balls: ['1', '12', '20', '21', '32', '11'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 56, Issue： 2019137 baseM: 1605, result: 15, red_balls: ['3', '10', '12', '20', '22', '9'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 96, Issue： 2020026 baseM: 1230, result: 15, red_balls: ['1', '11', '24', '25', '27', '4'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 97, Issue： 2020027 baseM: 1245, result: 15, red_balls: ['1', '4', '16', '19', '33', '6'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 106, Issue： 2020036 baseM: 1180, result: 15, red_balls: ['3', '7', '22', '25', '31', '4'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 146, Issue： 2020076 baseM: 805, result: 15, red_balls: ['1', '5', '23', '28', '33', '25'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 156, Issue： 2020086 baseM: 730, result: 15, red_balls: ['4', '16', '21', '22', '31', '13'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 160, Issue： 2020090 baseM: 715, result: 15, red_balls: ['11', '16', '26', '27', '32', '20'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 217, Issue： 2021013 baseM: 170, result: 15, red_balls: ['3', '14', '16', '19', '29', '7'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 218, Issue： 2021014 baseM: 210, result: 40, red_balls: ['4', '9', '15', '16', '21', '7'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 222, Issue： 2021018 baseM: 195, result: 15, red_balls: ['2', '4', '5', '15', '29', '11'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 226, Issue： 2021022 baseM: 180, result: 15, red_balls: ['1', '3', '6', '10', '12', '11'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 237, Issue： 2021033 baseM: 95, result: 15, red_balls: ['5', '13', '14', '21', '22', '24'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 242, Issue： 2021038 baseM: 70, result: 15, red_balls: ['3', '11', '24', '28', '29', '31'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
base_money is negative, stop, totally round: 249
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['12', '14', '16', '28', '33', '4'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 2
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['7', '12', '16', '22', '24', '31'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 1
Guess time: 32, Issue： 2019113 baseM: 1745, result: 15, red_balls: ['4', '16', '18', '21', '27', '23'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 1
Guess time: 45, Issue： 2019126 baseM: 1640, result: 15, red_balls: ['1', '10', '16', '29', '32', '3'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 2
Guess time: 56, Issue： 2019137 baseM: 1555, result: 15, red_balls: ['10', '13', '21', '27', '28', '15'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 96, Issue： 2020026 baseM: 1180, result: 15, red_balls: ['5', '6', '14', '15', '27', '18'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 97, Issue： 2020027 baseM: 1195, result: 15, red_balls: ['1', '11', '13', '19', '25', '17'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 106, Issue： 2020036 baseM: 1130, result: 15, red_balls: ['6', '7', '21', '26', '27', '31'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 116, Issue： 2020046 baseM: 1080, result: 40, red_balls: ['2', '13', '19', '20', '32', '26'], blue_ball: 6, act_red_balls: ['13', '19', '25', '26', '27', '32'], act_blue_ball: 8, ret: 40, red_correct: 4
Guess time: 146, Issue： 2020076 baseM: 805, result: 15, red_balls: ['3', '9', '23', '24', '33', '5'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 156, Issue： 2020086 baseM: 730, result: 15, red_balls: ['10', '26', '29', '31', '32', '17'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 160, Issue： 2020090 baseM: 715, result: 15, red_balls: ['12', '24', '25', '32', '33', '21'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 195, Issue： 2020125 baseM: 415, result: 40, red_balls: ['1', '5', '8', '30', '31', '12'], blue_ball: 6, act_red_balls: ['5', '12', '16', '26', '30', '31'], act_blue_ball: 13, ret: 40, red_correct: 4
Guess time: 217, Issue： 2021013 baseM: 220, result: 15, red_balls: ['13', '21', '29', '30', '31', '19'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 218, Issue： 2021014 baseM: 235, result: 15, red_balls: ['6', '8', '13', '23', '29', '30'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 222, Issue： 2021018 baseM: 220, result: 15, red_balls: ['5', '6', '7', '22', '27', '30'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 226, Issue： 2021022 baseM: 205, result: 15, red_balls: ['7', '25', '28', '29', '31', '9'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 237, Issue： 2021033 baseM: 120, result: 15, red_balls: ['1', '12', '21', '25', '26', '7'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 242, Issue： 2021038 baseM: 95, result: 15, red_balls: ['10', '19', '20', '29', '32', '5'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 250, Issue： 2021046 baseM: 40, result: 15, red_balls: ['10', '18', '19', '22', '26', '25'], blue_ball: 6, act_red_balls: ['5', '9', '13', '21', '28', '33'], act_blue_ball: 6, ret: 15, red_correct: 0
base_money is negative, stop, totally round: 254
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['8', '17', '18', '21', '22', '23'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['10', '11', '17', '32', '33', '21'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 1
Guess time: 32, Issue： 2019113 baseM: 1745, result: 15, red_balls: ['15', '17', '22', '23', '30', '33'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 1
Guess time: 45, Issue： 2019126 baseM: 1640, result: 15, red_balls: ['11', '15', '23', '24', '29', '28'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 46, Issue： 2019127 baseM: 1680, result: 40, red_balls: ['1', '7', '12', '17', '20', '24'], blue_ball: 6, act_red_balls: ['2', '6', '7', '12', '17', '24'], act_blue_ball: 10, ret: 40, red_correct: 4
Guess time: 56, Issue： 2019137 baseM: 1605, result: 15, red_balls: ['16', '18', '24', '28', '31', '20'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 96, Issue： 2020026 baseM: 1230, result: 15, red_balls: ['9', '12', '21', '23', '28', '5'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 97, Issue： 2020027 baseM: 1245, result: 15, red_balls: ['3', '10', '17', '31', '33', '15'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 106, Issue： 2020036 baseM: 1180, result: 15, red_balls: ['7', '8', '12', '23', '24', '30'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 122, Issue： 2020052 baseM: 1070, result: 40, red_balls: ['5', '8', '26', '29', '33', '2'], blue_ball: 6, act_red_balls: ['2', '8', '13', '29', '32', '33'], act_blue_ball: 15, ret: 40, red_correct: 4
Guess time: 146, Issue： 2020076 baseM: 855, result: 15, red_balls: ['2', '3', '5', '7', '17', '9'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 156, Issue： 2020086 baseM: 780, result: 15, red_balls: ['7', '16', '18', '25', '29', '32'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 160, Issue： 2020090 baseM: 765, result: 15, red_balls: ['1', '3', '9', '13', '32', '21'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 185, Issue： 2020115 baseM: 565, result: 40, red_balls: ['1', '4', '20', '28', '32', '13'], blue_ball: 6, act_red_balls: ['1', '4', '12', '20', '25', '32'], act_blue_ball: 2, ret: 40, red_correct: 4
Guess time: 217, Issue： 2021013 baseM: 270, result: 15, red_balls: ['2', '4', '6', '11', '31', '33'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 218, Issue： 2021014 baseM: 285, result: 15, red_balls: ['3', '6', '9', '12', '13', '8'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 222, Issue： 2021018 baseM: 270, result: 15, red_balls: ['3', '7', '9', '19', '21', '24'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 226, Issue： 2021022 baseM: 255, result: 15, red_balls: ['7', '9', '12', '16', '29', '8'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 237, Issue： 2021033 baseM: 170, result: 15, red_balls: ['2', '3', '10', '21', '33', '7'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 242, Issue： 2021038 baseM: 145, result: 15, red_balls: ['16', '20', '24', '29', '32', '12'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 250, Issue： 2021046 baseM: 90, result: 15, red_balls: ['5', '12', '27', '31', '32', '15'], blue_ball: 6, act_red_balls: ['5', '9', '13', '21', '28', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
base_money is negative, stop, totally round: 259
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['12', '19', '25', '29', '33', '30'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['7', '8', '12', '15', '21', '30'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 1
Guess time: 32, Issue： 2019113 baseM: 1745, result: 15, red_balls: ['14', '16', '21', '27', '29', '17'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 1
Guess time: 45, Issue： 2019126 baseM: 1640, result: 15, red_balls: ['8', '11', '17', '26', '27', '3'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 56, Issue： 2019137 baseM: 1580, result: 40, red_balls: ['5', '7', '19', '23', '30', '16'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 96, Issue： 2020026 baseM: 1230, result: 40, red_balls: ['15', '19', '25', '31', '32', '9'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 97, Issue： 2020027 baseM: 1245, result: 15, red_balls: ['14', '18', '24', '26', '33', '17'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 106, Issue： 2020036 baseM: 1180, result: 15, red_balls: ['6', '7', '18', '20', '33', '1'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 111, Issue： 2020041 baseM: 1180, result: 40, red_balls: ['7', '13', '22', '25', '30', '6'], blue_ball: 6, act_red_balls: ['6', '7', '16', '22', '24', '25'], act_blue_ball: 13, ret: 40, red_correct: 4
Guess time: 146, Issue： 2020076 baseM: 855, result: 15, red_balls: ['2', '10', '12', '21', '27', '19'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 156, Issue： 2020086 baseM: 780, result: 15, red_balls: ['16', '17', '20', '26', '31', '15'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 160, Issue： 2020090 baseM: 765, result: 15, red_balls: ['4', '11', '15', '18', '28', '27'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
